Date,market-price,n-transactions-per-block,median-confirmation-time,hash-rate,difficulty,miners-revenue,trade-volume,blocks-size,avg-block-size,transaction-fees,transaction-fees-usd,cost-per-transaction-percent,cost-per-transaction,n-unique-addresses,n-transactions,n-transactions-total,n-transactions-excluding-popular,output-volume,estimated-transaction-volume,estimated-transaction-volume-usd,total-bitcoins,market-cap
2013-11-05,229.95,296.534482758621,7.6,3303.63982471049,390928787.638086,1149382.23723981,6524796.7575,12156.821682,0.156711557471264,47.27916843,11129.73723981,1.65457832926767,21.0598280821557,97335.0,51597.0,26486271.0,51597.0,1115521.37805375,302095.13779939,69466776.9369697,11951481.319444444,2730002142.950442
2013-11-06,252.59,337.472392638037,7.31666666666667,4114.54971624979,510929738.016152,1091463.65843291,11137723.6672,12184.329455,0.185176785276074,145.62558243,36900.4084329101,1.88700031360976,19.4248635575097,97369.0,55008.0,26538412.0,55008.0,916641.174473455,228992.44527013,57841201.7507821,11955713.399327122,2998881722.073822
2013-11-07,265.1,420.381944444444,8.33333333333333,3911.36207594116,510929738.016152,1054946.58315642,10024923.513,12214.586234,0.219445868055556,128.50248332,34311.583156422,1.0375525864016,16.7207662327462,109301.0,60535.0,26593539.0,60535.0,1211667.36430477,383539.96543166,101676444.835933,11959515.431547606,3157111040.211313
2013-11-08,291.02,441.962686567164,10.1333333333333,3377.994520131,510929738.016152,1006003.80653402,14459640.0914,12245.873484,0.229804529850746,106.82017227,31086.8065340154,1.19725904276688,16.9867079772051,106680.0,59223.0,26653674.0,59223.0,1071531.00672899,288727.83990683,84025575.9696857,11963024.922263682,3452557779.817475
2013-11-09,334.0,373.0,8.18333333333333,3606.58061547821,510929738.016152,1304764.2004113,13422120.66,12276.667322,0.19963402027027,56.05344924,18864.2004113,1.42196263920963,23.0052225194178,106130.0,55204.0,26712623.0,55204.0,900392.500015756,274724.49234822,91757980.4443055,11966539.137931032,3952492394.2959776
2013-11-10,330.0,336.479532163743,6.55,4266.94044648126,510929738.016152,1508529.5793282,14438001.6,12306.173533,0.174086596491228,45.83360662,15279.5793282,1.89499465897517,25.2981650063424,95024.0,57538.0,26767727.0,57538.0,801259.568117552,241230.32399533,79606006.9184589,11970528.689759037,3953879440.01004
2013-11-11,328.0,306.978609625668,6.2,4952.69873252289,510929738.016152,2440675.20425112,22181780.64,12336.043431,0.150729475935829,62.22351764,21675.20425112,3.21594523686451,35.2179620249216,88300.0,57405.0,26825540.0,57405.0,748279.489553856,231380.89711518,75892934.253779,11975091.599264704,3929590747.9901958
2013-11-12,343.61,290.084577114428,6.25,4800.30800229142,510929738.016152,1837786.1373951,9336402.5511,12364.156231,0.141561646766169,22.51123231,8062.8873951037,2.16764617763951,29.919675328782,98250.0,58307.0,26882858.0,58307.0,1109036.94013872,246740.69432283,84782569.9762676,11979818.57905982,4104400338.517684
2013-11-13,354.9,386.130952380952,6.53333333333333,4774.90954725284,510929738.016152,1623511.20589776,6968337.285,12392.497966,0.185109214285714,23.04229153,8716.205897763,1.72986926515663,23.5271020765986,101388.0,64870.0,26941000.0,64870.0,1267483.08227684,264445.39497936,93851670.6781748,11984457.796325058,4242780795.799495
2013-11-14,393.0,379.306010928962,8.26666666666667,4292.33890151984,510929738.016152,2181676.37595093,15231842.91,12423.969979,0.18365012568306,23.13862517,10351.37595093,1.85275411952202,27.7602287307664,112531.0,69413.0,27006570.0,69413.0,1155028.59400238,299626.34115973,117753152.075774,11988828.801169591,4678225754.312865
2013-11-15,415.0,366.951807228916,7.81666666666667,4139.94817128837,510929738.016152,1979291.8882268,13077376.25,12457.328265,0.175689993975904,17.31629565,8041.88822680001,1.80036463045626,28.7554028391852,102176.0,60914.0,27075645.0,60914.0,2576469.35807958,264911.78304871,109938389.965215,11993199.124203822,4956173841.852441
2013-11-16,412.03,243.170103092784,7.18333333333333,4978.09718756147,510929738.016152,2334241.72723504,13318140.4569,12486.508854,0.117453036082474,14.2659898,6272.2272350418,2.66400425087463,46.0420870100407,88478.0,47175.0,27136315.0,47175.0,1491006.2833925,212658.17208062,87621546.6423779,11997738.471834263,4945916057.043588
2013-11-17,437.24,275.930107526882,7.2,5847.42683190499,609482679.888355,2391348.08563078,7864793.2864,12509.178993,0.140258365591398,17.08725612,8390.0856307832,2.39988838173063,41.107525581125,89325.0,51323.0,27183371.0,51323.0,1158208.92269629,227893.46303831,99644137.7788707,12002461.823830424,5225841931.558181
2013-11-18,475.0,506.615384615385,9.15,4968.79792970165,609482679.888355,2080174.82041975,12318018.25,12535.616931,0.255220730769231,27.23178132,13924.82041975,1.18894615807099,24.0989691654087,140360.0,79032.0,27235122.0,79032.0,2124183.59639461,368335.88987034,174959547.688412,12006698.212274766,5664895831.136827
2013-11-19,660.2,577.062111801242,10.3833333333333,4696.1199945351,609482679.888355,2777584.29840206,37667486.532,12575.431461,0.312510229813665,31.59785609,21249.298402058,1.04243342020032,29.2417309568894,170557.0,92907.0,27314947.0,92907.0,2269134.47189092,403592.79276383,266451961.782681,12010698.358386075,7753511615.51556
2013-11-20,547.0,472.914634146341,8.58333333333333,4938.50038134981,609482679.888355,2338840.68621181,39187621.53,12625.495604,0.23325743902439,25.27945207,14090.68621181,1.14456594344464,29.3477637740835,139562.0,77558.0,27406934.0,77558.0,1690347.11982735,373570.43189332,204343026.245646,12014741.58902691,6677642262.18168
2013-11-21,597.98,478.813333333333,10.3833333333333,4484.03715607222,609482679.888355,2559348.69495985,34141996.989,12663.749657,0.27403568,26.55807643,17933.6949598504,1.50483108762802,32.7186210572319,128839.0,71822.0,27484512.0,71822.0,2192970.79045368,284416.66939685,170075479.965928,12018710.512706857,7132637964.055851
2013-11-22,716.77,447.366279069767,8.25,5029.39302640533,609482679.888355,3350220.14912616,22456619.131,12704.955304,0.226997540697675,23.29739671,17239.6491261634,0.706836046957074,41.822337267198,137706.0,76947.0,27556415.0,76947.0,2393219.99735761,661263.93476136,473974150.5189,12022687.32954545,8509324553.776571
2013-11-23,795.0,426.735294117647,8.05,4908.20283299797,609482679.888355,3674506.17755835,19979749.2,12744.204821,0.209453023529412,21.01611529,17506.17755835,2.01928414676199,47.434404925558,130687.0,72545.0,27633596.0,72545.0,1533323.42331163,228894.00466703,181970733.710289,12026988.357469512,9489754988.234438
2013-11-24,829.99,362.267857142857,6.55,5211.17831651637,609482679.888355,3874676.60628557,16889956.2041,12779.503107,0.183450523809524,17.53595197,15223.1062855711,2.0605964451843,59.9201504126805,102145.0,60861.0,27705683.0,60861.0,1518872.51146536,226552.91499702,188036653.918377,12031175.045572918,9952871939.017775
2013-11-25,807.5,414.988439306358,7.66666666666667,5453.55870333108,609482679.888355,4237394.8306058,16235433.5,12810.142063,0.190290046242775,19.60120774,18207.3306058,2.55676559008245,51.656018220012,121251.0,71793.0,27766172.0,71793.0,1449270.80265993,205241.64585893,165732629.031086,12035475.431263264,9740193529.581676
2013-11-26,814.56,524.421383647799,7.78333333333333,4968.79792970165,609482679.888355,3586095.73231054,18763528.0752,12843.158693,0.251388484276729,25.2369173,22395.7323105408,1.33513771758694,40.6213764265305,153552.0,83383.0,27838216.0,83383.0,4028498.09525615,329740.83584702,268593695.247549,12039619.14321192,9799956858.64459
2013-11-27,917.79,552.202312138728,8.4,5029.39302640533,609482679.888355,4734690.78982913,27250359.8712,12883.466439,0.26505150867052,30.41271141,31017.0398291295,1.47124423464173,43.7833787054544,170801.0,95531.0,27922306.0,95531.0,3323866.01382392,350641.67013074,321815418.429292,12043820.019531246,10956583178.328516
2013-11-28,965.0,546.524861878453,8.01666666666667,5514.15380003476,609482679.888355,4735006.8924977,29251070.35,12928.90937,0.248631143646409,30.73997164,30631.8924977,1.30366191824304,45.5920398676793,174633.0,98921.0,28016959.0,98921.0,3418563.3538555,376381.54686553,363208192.725236,12048201.88577586,11585660432.673733
2013-11-29,1014.1,520.71676300578,7.55,6505.6094504138,707408283.051497,4819580.30141162,37478428.353,12974.322416,0.250041445086705,26.09068458,27957.801411622,1.33936669951118,50.4113833106179,162274.0,90084.0,28116924.0,90084.0,2602929.47680348,354837.03448462,359840236.670853,12052615.063131314,12177732431.162249
